	alpha_1	alpha_2	alpha_3	sigma.sq_1	sigma.sq_2	sigma.sq_3	theta_1	theta_2	theta_3
32	0.052660974	0.046034682	0.053082823	0.065427386	0.065427386	0.065427386	7.249147851	5.545915882	4.445111667
33	0.060953501	0.395686152	2.06E-09	2.06E-09	2.06E-09	2.06E-09	1.17E-27	4.054953832	3.90E-20
34	0.065001919	0.066141338	0.064607833	0.131192879	0.131192879	0.131192879	7.987400286	5.241329342	3.919501886
35	0.008665958	0.001463614	0.018332451	0.023528464	0.023528464	0.023528464	7.801902715	4.988342825	4.350901465
36	0.020911589	0.017774348	0.02898073	0.054859884	0.054859884	0.054859884	9.563240012	5.482546663	3.516529813
37	0.108495837	0.47441088	2.45E-06	2.06E-09	2.06E-09	2.06E-09	1.39E-28	3.505823207	7.09E-20
38	0.017335838	0.016669164	0.025178579	0.063717251	0.063717251	0.063717251	7.590453874	5.795237359	4.767420629
39	0.020898733	0.026100374	0.020647245	0.092080555	0.092080555	0.092080555	8.592066832	5.010837676	3.52284305
40	0.02393617	0.027850648	0.018975467	0.104263673	0.104263673	0.104263673	7.731692219	5.665444681	3.06118724
41	0.007169287	0.012946406	0.002994677	0.096988777	0.096988777	0.096988777	7.363356641	5.532964557	2.319853606
42	0.137671314	0.500246005	2.07E-09	2.09E-09	2.09E-09	2.09E-09	-1.02E-30	6.338069153	1.36E-23
43	0.011077342	0.005675868	0.016984645	0.0385276	0.0385276	0.0385276	9.159775648	5.073470706	4.691589315
44	0.032229574	0.031444143	0.019208368	0.1048836	0.1048836	0.1048836	8.841668877	5.945997354	4.621608478
45	0.027115899	0.027835664	0.013334424	0.095020003	0.095020003	0.095020003	9.103948741	6.021071783	3.123048503
46	0.025500548	0.025348296	0.017119757	0.092593051	0.092593051	0.092593051	8.40636048	4.874649612	3.723948381
47	0.098257899	0.437717843	2.96E-06	2.06E-09	2.06E-09	2.06E-09	-1.05E-27	4.936320549	2.31E-18
48	0.006189214	0.010028879	0.005533295	0.058642883	0.058642883	0.058642883	8.544545384	5.119075999	3.394716441
49	0.003870517	0.00013543	0.014652184	0.034484107	0.034484107	0.034484107	9.093787188	5.896010318	4.369067457
50	0.07147556	0.071451215	0.058955614	0.143544111	0.143544111	0.143544111	9.563126509	5.202010397	4.907986654
51	0.044539959	0.038466424	0.038686678	0.073660605	0.073660605	0.073660605	9.810931474	5.360578203	4.971479529
52	0.023530719	0.023617582	0.032558785	0.060330277	0.060330277	0.060330277	10.28034237	5.334089564	4.697960521
53	0.102755368	0.449183874	2.38E-06	4.49E-09	4.49E-09	4.49E-09	6.45E-28	4.55739789	6.81E-19
54	0.056248534	0.053223935	0.05907304	0.083217337	0.083217337	0.083217337	7.799452683	5.225196526	3.708903926
55	0.06784728	0.416576592	1.14E-08	2.56E-09	2.56E-09	2.56E-09	-2.86E-28	3.438536436	3.40E-20
56	0.009197728	0.001011828	0.019458142	0.027752747	0.027752747	0.027752747	7.743306799	5.62956447	4.885460692
57	0.007200086	0.00018184	0.023752949	0.024059476	0.024059476	0.024059476	8.630313	6.162285412	4.36980589
58	0.026953483	0.022629307	0.022083791	0.057778751	0.057778751	0.057778751	9.436900798	6.096506819	3.245804087
